 EDR144347,Herculaneum,basis columnae cum parte columnae ornamentae et fortasse scalae,base and part of a decorated column and perhaps a ladder,Other,2318,,,,
 EDR144348  ,Herculaneum,basis columnae,column base,Other,2319,,,,
 EDR144514  ,Herculaneum,"camelus dromedarius lodicem gerens, cum cauda, ad dextram incedens","camel, wearing a blanket, with a tail, walking to the right",Animals,1443,,,,
 EDR145004    ,Herculaneum,cervus a cane assultatus,stag attacked by dog,Animals,1108,,,,
 EDR145008 ,Herculaneum,cervus a viro laqueo captus et a cane assultatus,stag captured by a man with a rope and attacked by a dog,"Animals, Human figures",1125,,,,
 EDR145032 ,Herculaneum,gallus cum crista alisque,cock with comb and wings,Animals,1688,,Yes,,
 EDR145764 ,Herculaneum,cervus,stag,Animals,1509,,,,
 EDR145768   ,Herculaneum,animal,animal,Animals,1596,,Yes,,
 EDR145771  ,Herculaneum,figura virilis,figure of a man,Human figures,734,,Yes,,
 EDR147607  ,Herculaneum,herma viri cum palma,bust of man with palm,"Human figures, Plants",384,,,,
EDR143634  ,Herculaneum,galea gladiatoria cum crista ad sin.,gladiator helmet with a plume facing left,Gladiators,970,,,,
EDR143814,Herculaneum,galea gladiatoria cum crista ad dext.,gladiator helmet with plume and visor? facing right,Gladiators,963,,,,
EDR143815 ,Herculaneum,galea gladiatoria cum crista ad. dext.,gladiator helmet with crest facing right,Gladiators,964,,,,
EDR143833   ,Herculaneum,galea gladiatoria,gladiator helmet,Gladiators,967,,,,
EDR143900  ,Herculaneum,"gladiator, murmillo cum galea et scuto","gladiator, murmillo type with helmet and shield",Gladiators,909,,Yes,,
EDR144349  ,Herculaneum,basis columnae,column base,Other,2320,,,,
EDR144350 ,Herculaneum,basis columnae,column base,Other,2321,,,,
EDR144352,Herculaneum,basis columnae,column base,Other,2322,,,,
EDR144353  ,Herculaneum,basis columnae,column base,Other,2323,,,,
EDR144354   ,Herculaneum,"nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis","names FAVSTVS and NOTHVS written in the shape of three boats, NOTHVS twice",Boats,"11,12",,,,
EDR144356 ,Herculaneum,sex circuli quorum duo simplices et quattor duplices sunt,"six circles, two single and four double",Geometric designs,40,,Yes,,
EDR144659 ,Herculaneum,galea gladiatoria,gladiator helmet,Gladiators,971,,,,
EDR144783  ,Herculaneum,galea gladiatoria cum crista,gladiator helmet with crest,Gladiators,968,,,,
EDR144784   ,Herculaneum,galea gladiatoria cum crista,gladiator helmet with crest,Gladiators,969,,,,
EDR145005    ,Herculaneum,cervus ,stag,Animals,1109,,,,
EDR145006 ,Herculaneum,cervus,stag,Animals,1110,,,,
EDR145007   ,Herculaneum,cervus a viro laqueo captus,stag captured by a man with a rope,"Animals, Other",1124,,,,
EDR145009   ,Herculaneum,vir cervum equitans,man riding stag,"Human figures, Animals",1310,,,,
EDR145030 ,Herculaneum,"gryllus feminae cum cornibus, unguibus, dentibus, et alis, falcem aut baculum tenentis","caricature of a woman with horns, claws, teeth, and wings, holding a scythe or staff","Human figures, Animals",1372,,Yes,,
EDR145036 ,Herculaneum,navis ,boat,Boats,2169,,Yes,,
EDR145037 ,Herculaneum,carina navis,ship's keel,Boats,2220,,Yes,,
EDR145296  ,Herculaneum,viri imago ad sinistram,image of a man facing left,Human figures,486,,,,
EDR145384     ,Herculaneum,gladiator armatus cum galea exigua et scuto longo,gladiator armed with a short sword and a long shield,Gladiators,903,,Yes,,
EDR145765    ,Herculaneum,cervus,stag,Animals,1510,,,,
EDR145766,Herculaneum,cervus,stag,Animals,1511,,,,
EDR145767 ,Herculaneum,animal,animal,Animals,1595,,Yes,,
EDR145935 ,Herculaneum,cervus stans ,standing stag,Animals,1521,,,,
EDR145941  ,Herculaneum,viri caput,head of a man,Human figures,187,,Yes,,
EDR145942  ,Herculaneum,herma viri,bust of a man,Human figures,213,,,,
EDR145943  ,Herculaneum,scaena erotica,erotic scene ,"Human figures, Erotic images",1289,,Yes,,
EDR149190,Herculaneum,palmae ramus,palm branch ,Plants,,,,,
EDR143636,Herculaneum,"caput acutum cum nasone longo et corona, gryllus?","pointed head with long nose and garland wreath, caricature?",Human figures,309,,,,
EDR156776,Herculaneum,vir baculo nixus,man leaning on a staff,Human figures,1377,10596,Yes,,
EDR154541,Herculaneum,phallus,phallus,Erotic images,,,,,
EDR156782,Herculaneum,((:caput gladiatoris ad sin. versum et galea armatum)),,Gladiators,383,10673,Yes,,
 EDR143832,Herculaneum,galea gladiatoria cum crista ad dext.,gladiator helmet with plume and possibly visor facing right,Gladiators,965,,,,
EDR147158 ,Herculaneum,galea gladiatoria,gladiator helmet,Gladiators,966,,,,
EDR127408 ,Herculaneum,((:gladiatores inter se dimicantes)),,Gladiators,1055,,,,
EDR140190,Herculaneum,((:gladiatores inter se dimicantes)),,Gladiators,1055,,,,
EDR153742,Herculaneum,Silentiolus / ((:nomen SILENTIOLUS in forma navis scriptum)),,Boats,,10655a,Yes,,
EDR153743,Herculaneum,Silentiolus / ((:nomen SILENTIOLUS in forma navis scriptum)),,Boats,,10655b,Yes,,
EDR144357,Herculaneum,((:herma viri)),,,,10676 (nota),,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
EDR147517 ,Pompeii,circulus circulos continens,concentric circles,Geometric designs,42,,,,
EDR147686 ,Pompeii,verba in forma navis scripta,phrase written in the shape of a boat,Boats,7,,,,
EDR147687  ,Pompeii,verba CRESCES ARCHITECTUS in forma navis scripta,phrase CRESCES ARCHITECTUS written in the shape of a boat,Boats,8,,,,
EDR147717      ,Pompeii,nomen NEPTVNUS in forma navis scriptum,name NEPTVNUS written in the shape of a boat,Boats,1,,,,
EDR147777 ,Pompeii,verba CRESCES SPATALO in forma navis scripta,phrase CRESCES SPATALO written in shape of boat,Boats,9,,,,
EDR147780 ,Pompeii,verba in forma navis scripta,phrase written in shape of boat,Boats,4,,,,
EDR147856   ,Pompeii,gladiator,gladiator ,Gladiators,28,,,,
EDR147857  ,Pompeii,nomen Psyche in medio corde,name Psyche in the middle of a heart,Other,29,,,,
EDR147860  ,Pompeii,verba in forma sicae scripta,words written in form of curved dagger,Other,32,,,,
EDR147861 ,Pompeii,verba scripta in forma sicae,words written in form of curved dagger,Other,33,,,,
EDR147863 ,Pompeii,circulus circulos continens,concentric circles,Geometric designs,47,,,,
EDR147874    ,Pompeii,circulus fortasse rota,circle perhaps wheel ,Geometric designs,57,,,,
EDR147875   ,Pompeii,circulus fortasse rota,circle perhaps wheel ,Geometric designs,61,,,,
EDR147876  ,Pompeii,circuli ,circles,Geometric designs,67,,,,
EDR147877,Pompeii,circulus,circle,Geometric designs,68,,,,
EDR147878   ,Pompeii,circulus florem continens,circle containing flower,Geometric designs,70,,,,
EDR147881  ,Pompeii,circulus florem continens,circle containing flower,Geometric designs,71,,,,
EDR147882    ,Pompeii,circulus florem continens,circle containing flower,Geometric designs,72,,,,
EDR147884  ,Pompeii,circulus circino tractus et florem continens,compass-drawn circle containing flower,Geometric designs,77,,,,
EDR147916 ,Pompeii,nomen RESTITVTVS in forma navis scriptum,name RESTITVTVS written in shape of boat,Boats,14,,,,
EDR147918,Pompeii,nomen in forma navis scriptum,name written in shape of boat,Boats,15,,,,
EDR147919  ,Pompeii,nomen SILETIOLLVS in forma navis scriptum,phrase SILETIOLLVS written in shape of boat,Boats,18,,,,
EDR147921,Pompeii,nomen SILETIOLVS in forma navis scriptum,phrase SILETIOLLVS written in shape of boat,Boats,19,,,,
EDR147922  ,Pompeii,verba COMMUNEM NU(MMUM) in forma navis scripta,phrase COMMUNEM NU(MMUM) written in shape of boat retrograde,Boats,25,,,,
EDR147925,Pompeii,circulus circino tractus et florem continens,compass-drawn circle containing flower,Geometric designs,78,,,,
EDR147927  ,Pompeii,circulus circino tractus et florem continens,compass-drawn circle containing flower,Geometric designs,79,,,,
EDR147928 ,Pompeii,circulus circino tractus et florem continens,compass-drawn circle containing flower,Geometric designs,80,,,,
EDR147929   ,Pompeii,circulus florem continens,circle containing flower,Geometric designs,81,,,,
EDR147930 ,Pompeii,circulus florem continens,circle containing flower,Geometric designs,82,,,,
EDR147932 ,Pompeii,circulus triplex florem continens,triple circle containing flower,Geometric designs,91,,,,
EDR147934      ,Pompeii,circulus flores continens,circle containing flowers,Geometric designs,118,,,,
EDR147935,Pompeii,circulus circino tractus,compass-drawn circle,Geometric designs,119,,,,
EDR147936,Pompeii,circulus circino tractus,compass-drawn circle,Geometric designs,120,,,,
EDR147969,Pompeii,circulus circino tractus et circulos sectiles continens,compass-drawn circle containing overlapping circles,Geometric designs,125,,,,
EDR147970,Pompeii,circulus circino tractus et circulos sectiles continens,compass-drawn circle containing overlapping circles,Geometric designs,126,,,,
EDR147971,Pompeii,circulus circino tractus et circulos sectiles continens,compass-drawn circle containing overlapping circles,Geometric designs,127,,,,
EDR147972,Pompeii,circulus circino tractus et circulos floresque continens,compass-drawn circle containing circles and flowers,Geometric designs,129,,,,
EDR147973,Pompeii,circulus circino tractus et circulos floresque continens,compass-drawn circle containing circles and flowers,Geometric designs,130,,,,
EDR147974,Pompeii,circuli circino tracti,compass-drawn circles,Geometric designs,131,,,,
EDR147975,Pompeii,circulus  ,circle,Geometric designs,136,,,,
EDR147976,Pompeii,circulus circino tractus,compass-drawn circle,Geometric designs,137,,,,
EDR147977,Pompeii,circulus circino tractus,compass-drawn circle,Geometric designs,138,,,,
EDR147978,Pompeii,circulus circino tractus,compass-drawn circle,Geometric designs,139,,,,
EDR147979,Pompeii,circuli sectiles circino tracti,overlapping compass-drawn circles,Geometric designs,140,,,,
EDR147999,Pompeii,nomen SILETIOLLVS in forma navis scriptum,name SILETIOLLVS written in shape of boat,Boats,20,,,,
EDR148022,Pompeii,verba Surrentinas scripta in forma duae navium,words Surrentinas written in the shape of two boats,Boats,21 and 22,,,,
EDR148103,Pompeii,verba in forma navis scripta,phrase written in shape of boat,Boats,23,,,,
EDR148378,Pompeii,labyrinthus,labyrinth,Geometric designs,150,,,,
EDR148379,Pompeii,labyrinthus  ,labyrinth,Geometric designs,151,,,,
EDR148380,Pompeii,labyrinthus circularis,round labyrinth,Geometric designs,152,,,,
EDR148381,Pompeii,labyrinthus circularis,round labyrinth,Geometric designs,153,,,,
EDR148416,Pompeii,labyrinthus circularis,round labyrinth,Geometric designs,154,,,,
EDR148418,Pompeii,stella,star,Geometric designs,162,,,,
EDR148419,Pompeii,duo triangula,two triangles,Geometric designs,166,,,,
EDR148422  ,Pompeii,permulta quadrata triangulaque,geometric design of several squares and triangles,Geometric designs,170,,,,
EDR148731,Pompeii,tres tauri ad sin. currentes,three bulls running to left,Animals,1491,,,,
EDR148732,Pompeii,folium,leaf,Plants,2452,,,,
EDR148733,Pompeii,folium,leaf,Plants,2453,,,,
EDR148861,Pompeii,quadratum,rectangle,Geometric designs,167,,,,
EDR148862,Pompeii,viri herma ad sin. conversus,head of a man,Human figures,496,,,,
EDR148863,Pompeii,avis,bird,Animals,1754,,,,
EDR148864,Pompeii,avis stans,bird standing,Animals,1755,,,,
EDR148865,Pompeii,avis stans,bird standing,Animals,1756,,,,
EDR148874,Pompeii,scutum,shield,,959,,,,
EDR148875,Pompeii,navis cum malo velo et remis,"ship with mast, sail and oars",Boats,1886,,,,
EDR148876,Pompeii,navis cum remis maloque,ship with mast and oars,Boats,1904,,,,
EDR148877,Pompeii,navis cum malo,ship with mast,Boats,1905,,,,
EDR148878,Pompeii,navis cum remis velis malisque,"ship with oars, masts and sails",Boats,1926,,,,
EDR148879,Pompeii,navis cum velo,ship with sail,Boats,1961,,,,
EDR148880,Pompeii,navis cum malo veloque,ship with mast and sail,Boats,1971,,,,
EDR148881,Pompeii,navis cum malo veloque,ship with mast and sail,Boats,1972,,,,
EDR148882,Pompeii,navis,ship,Boats,1994,,,,
EDR149035,Pompeii,retiarius cum tridenti,retiarius with trident,Gladiators,820,,,,
EDR149038,Pompeii,viri facies barbata ad sin,bearded face of man facing left,Human figures,333,,,,
EDR149039,Pompeii,gallus ad sin. rostro cibum carpens,"rooster pecking at food, facing left",Animals,1704,,,,
EDR149142,Pompeii,hominis caput cum naso ingenti,human head with large nose,Human figures,274,2375,,,Please upload CIL image
EDR149159,Pompeii,caput hominis/ phallus directus versus os capitis illius,man's head/ upright phallus pointing towards man's head,"Human figures, Erotic images",300,,,,
EDR149196,Pompeii,"duo gladiatores, a quibus alter, sub SAC, alterum, sub M, tridente petit","two gladiators, one attacking the other with a trident",Gladiators,"848, 849",,,,
EDR149513,Pompeii,palma,palm frond,Plants,,,,,
EDR150296,Pompeii,"figurae duorum gladiatorum, alter retiarius est cum fuscina; alter cum hasta et fortasse cum fuscina armatus est","figures of two gladiators, one is a retiarius with a trident; the other is armed with a spear and perhaps a trident",Gladiators,"846, 847",,,,
EDR150297,Pompeii,figura gladiatoris cum galea ac fortasse scuto,figure of a gladiator with a helmet and perhaps a shield,Gladiators,896,,,,
EDR150397,Pompeii,casulae frons cui et ad d. et ad sin. palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur,"front of a house flanked on the right and the left by a palm, and whose door is approached by a quadruped who seems to have long horns like a deer","Animals, Plants, Other",1355,,,,
EDR151701,Pompeii,hominis facies,human face,Human figures,224,,,,
EDR151700 ,Pompeii,hominis figura,human figure,Human figures,690,,,,
EDR151705  ,Pompeii,gladiator,gladiator ,Gladiators,883,,,,
 EDR147519   ,Pompeii ,circulus circulos continens,concentric circles,Geometric designs,43,,,,
 EDR147725 ,Pompeii ,nomen NEPTVNVS in forma navis scriptum,name NEPTVNVS written in shape of boat,Boats,2,,,,
 EDR147779,Pompeii ,verba CRESCES ARCHITECTUS in forma navis scripta,phrase CRESCES ARCHITECTUS written in shape of boat,Boats,13,,,,
 EDR147862 ,Pompeii ,labyrinthus circularis,circular labyrinth,Geometric designs,46,,,,
 EDR147917   ,Pompeii ,nomen SECVNDVS in forma navis scriptum,name SECVNDVS written in shape of boat,Boats,17,,,,
 EDR147920 ,Pompeii ,nomen SECVNDVS in forma navis scriptum,name SECVNDVS written in shape of boat,Boats,16,,,,
 EDR147931,Pompeii ,circulus circino tractus et florem continens,compass-drawn circle containing flower,Geometric designs,88,,,,
 EDR147933  ,Pompeii ,circulus,circle,Geometric designs,117,,,,
EDR142564,Pompeii ,navis oneraria cum nautis et tugurio,cargo ship with sailors and deckhouse,Boats,2103,,,,
EDR142573,Pompeii ,nomen Venustus in forma navis scriptum,name Venustus written in shape of boat,Boats,2001,,,,
,,,,,,,,,
,,,,,,,,,
,,Ercolano (still needs english erased),,,,,,,
,,Pompeii (needs english erased) ,,,,,,,
